notificationId,content,views,startDate,accountId,productId
800188,The product is on sale.,9,2020-01-18,10000131,2000623
800189,The product is on sale.,2,2019-09-26,10000134,2000626
800190,The product is on sale.,18,2019-12-31,10000137,2000629
800191,The product is on sale.,20,2019-10-13,10000140,2000632
800192,The product is on sale.,19,2019-11-15,10000143,2000635
800193,The product is on sale.,15,2020-01-05,10000146,2000638
800194,The product is on sale.,20,2019-07-30,10000149,2000641
800195,The product is on sale.,19,2020-01-19,10000152,2000644
800196,The product is on sale.,20,2019-06-07,10000155,2000647
800197,The product is on sale.,4,2019-07-20,10000158,2000650
800198,The product is on sale.,18,2019-11-23,10000161,2000653
800199,The product is on sale.,6,2019-08-08,10000164,2000656
800200,The product is on sale.,10,2019-10-23,10000167,2000659
800201,The product is on sale.,12,2019-10-06,10000170,2000662
800202,The product is on sale.,7,2019-06-08,10000173,2000665
800203,The product is on sale.,7,2019-08-18,10000176,2000668
800204,The product is on sale.,7,2019-10-30,10000179,2000671
800205,The product is on sale.,13,2020-01-10,10000182,2000674
800206,The product is on sale.,8,2019-09-07,10000185,2000677
800207,The product is on sale.,10,2019-07-31,10000188,2000680
800208,The product is on sale.,17,2019-09-22,10000191,2000683
800209,The product is on sale.,19,2019-11-22,10000194,2000686
800210,The product is on sale.,4,2020-01-06,10000197,2000689
800211,The product is on sale.,1,2019-09-08,10000200,2000692
800212,The product is on sale.,15,2019-11-08,10000203,2000695
800213,The product is on sale.,3,2019-10-19,10000206,2000698
800214,The product is on sale.,7,2019-09-23,10000209,2000701
800215,The product is on sale.,9,2019-12-21,10000212,2000704
800216,The product is on sale.,5,2019-07-02,10000215,2000707
800217,The product is on sale.,4,2019-11-25,10000218,2000710
800218,The product is on sale.,20,2019-07-27,10000221,2000713
800219,The product is on sale.,12,2019-08-12,10000224,2000716
800220,The product is on sale.,19,2019-06-04,10000227,2000719
800221,The product is on sale.,8,2019-07-22,10000230,2000722
800222,The product is on sale.,17,2019-05-17,10000233,2000725
800223,The product is on sale.,11,2019-06-10,10000236,2000728
800224,The product is on sale.,8,2020-01-20,10000239,2000731
800225,The product is on sale.,2,2019-12-29,10000242,2000734
800226,The product is on sale.,5,2019-09-14,10000245,2000737
800227,The product is on sale.,6,2020-01-04,10000248,2000740
800228,The product is on sale.,16,2019-05-22,10000251,2000743
800229,The product is on sale.,8,2019-09-12,10000254,2000746
800230,The product is on sale.,11,2019-07-22,10000257,2000749
800231,The product is on sale.,18,2019-07-02,10000260,2000752
800232,The product is on sale.,5,2019-09-08,10000263,2000755
800233,The product is on sale.,4,2019-12-13,10000266,2000758
800234,The product is on sale.,17,2019-09-02,10000269,2000761
800235,The product is on sale.,12,2020-01-22,10000272,2000764
800236,The product is on sale.,18,2019-08-03,10000275,2000767
800237,The product is on sale.,13,2019-10-09,10000278,2000770
800238,The product is on sale.,14,2019-05-24,10000281,2000773
800239,The product is on sale.,14,2019-12-04,10000284,2000776
800240,The product is on sale.,13,2019-08-01,10000287,2000779
800241,The product is on sale.,8,2019-07-03,10000290,2000782
800242,The product is on sale.,15,2019-12-26,10000293,2000785
800243,The product is on sale.,7,2019-12-11,10000296,2000788
800244,The product is on sale.,15,2019-10-30,10000299,2000791
800245,The product is on sale.,2,2020-01-16,10000302,2000794
800246,The product is on sale.,7,2019-05-09,10000305,2000797
800247,The product is on sale.,2,2019-05-24,10000308,2000800
800248,The product is on sale.,13,2019-08-23,10000311,2000803
800249,The product is on sale.,13,2019-06-26,10000314,2000806
800250,The product is on sale.,18,2019-10-27,10000317,2000809
800251,The product is on sale.,20,2019-08-12,10000320,2000812
800252,The product is on sale.,18,2019-08-07,10000323,2000815
800253,The product is on sale.,20,2019-08-25,10000326,2000818
800254,The product is on sale.,10,2019-05-29,10000329,2000821
800255,The product is on sale.,12,2019-09-10,10000332,2000824
800256,The product is on sale.,17,2019-07-19,10000335,2000827
800257,The product is on sale.,8,2019-12-19,10000338,2000830
800258,The product is on sale.,8,2019-09-02,10000341,2000833
800259,The product is on sale.,17,2019-06-15,10000344,2000836
800260,The product is on sale.,20,2019-11-13,10000347,2000839
800261,The product is on sale.,9,2019-05-21,10000350,2000842
800262,The product is on sale.,10,2019-10-09,10000353,2000845
800263,The product is on sale.,1,2019-06-07,10000356,2000848
800264,The product is on sale.,17,2020-01-02,10000359,2000851
800265,The product is on sale.,2,2019-06-28,10000362,2000854
800266,The product is on sale.,17,2019-06-09,10000365,2000857
800267,The product is on sale.,9,2019-09-20,10000368,2000860
800268,The product is on sale.,18,2019-08-20,10000371,2000863
800269,The product is on sale.,1,2019-05-17,10000374,2000866
800270,The product is on sale.,14,2019-12-02,10000377,2000869
800271,The product is on sale.,10,2019-05-17,10000380,2000872
800272,The product is on sale.,9,2019-11-24,10000383,2000875
800273,The product is on sale.,12,2019-12-22,10000386,2000878
800274,The product is on sale.,6,2019-11-23,10000389,2000881
800275,The product is on sale.,6,2019-06-28,10000392,2000884
800276,The product is on sale.,8,2019-08-20,10000395,2000887
800277,The product is on sale.,3,2019-09-27,10000398,2000890
800278,The product is on sale.,3,2019-06-06,10000401,2000893
800279,The product is on sale.,19,2019-06-05,10000404,2000896
800280,The product is on sale.,15,2019-08-30,10000407,2000899
800281,The product is on sale.,8,2019-06-16,10000410,2000902
800282,The product is on sale.,20,2019-06-30,10000413,2000905
800283,The product is on sale.,10,2019-07-10,10000416,2000908
800284,The product is on sale.,17,2019-09-16,10000419,2000911
800285,The product is on sale.,3,2019-08-25,10000422,2000914
800286,The product is on sale.,17,2020-01-13,10000425,2000917
800287,The product is on sale.,4,2019-10-30,10000428,2000920
800288,The product is on sale.,4,2019-10-26,10000431,2000923
800289,The product is on sale.,20,2019-05-25,10000434,2000926
800290,The product is on sale.,19,2019-09-13,10000437,2000929
800291,The product is on sale.,7,2019-09-25,10000440,2000932
800292,The product is on sale.,17,2019-06-08,10000443,2000935
800293,The product is on sale.,17,2019-09-05,10000446,2000938
800294,The product is on sale.,3,2019-05-16,10000449,2000941
800295,The product is on sale.,4,2019-10-11,10000452,2000944
800296,The product is on sale.,3,2020-01-21,10000455,2000947
800297,The product is on sale.,18,2019-12-04,10000458,2000950
800298,The product is on sale.,9,2019-12-16,10000461,2000953
800299,The product is on sale.,7,2019-09-08,10000464,2000956
800300,The product is on sale.,20,2019-05-11,10000467,2000959
800301,The product is on sale.,14,2019-08-11,10000470,2000962
800302,The product is on sale.,13,2019-09-25,10000473,2000965
800303,The product is on sale.,20,2019-07-29,10000476,2000968
800304,The product is on sale.,6,2020-01-09,10000479,2000971
800305,The product is on sale.,10,2019-10-22,10000482,2000974
800306,The product is on sale.,14,2019-09-30,10000485,2000977
800307,The product is on sale.,3,2019-06-30,10000488,2000980
800308,The product is on sale.,14,2019-10-06,10000491,2000983
800309,The product is on sale.,8,2019-07-10,10000494,2000986
800310,The product is on sale.,12,2019-09-02,10000497,2000989
800311,The product is on sale.,4,2019-09-22,10000500,2000992
800312,The product is on sale.,13,2019-12-18,10000503,2000995
800313,The product is on sale.,12,2019-06-18,10000506,2000998
800314,The product is on sale.,7,2019-10-18,10000509,2001001
800315,The product is on sale.,7,2019-09-08,10000512,2001004
800316,The product is on sale.,9,2019-08-09,10000515,2001007
800317,The product is on sale.,9,2019-10-02,10000518,2001010
800318,The product is on sale.,13,2019-06-12,10000521,2001013
800319,The product is on sale.,14,2019-09-21,10000524,2001016
800320,The product is on sale.,2,2019-09-06,10000527,2001019
800321,The product is on sale.,19,2019-12-18,10000530,2001022
800322,The product is on sale.,4,2019-05-24,10000533,2001025
800323,The product is on sale.,17,2020-01-13,10000536,2001028
800324,The product is on sale.,13,2020-01-22,10000539,2001031
800325,The product is on sale.,15,2019-08-25,10000542,2001034
800326,The product is on sale.,2,2019-10-07,10000545,2001037
800327,The product is on sale.,17,2019-10-11,10000548,2001040
800328,The product is on sale.,16,2019-11-14,10000551,2001043
800329,The product is on sale.,16,2019-06-16,10000554,2001046
800330,The product is on sale.,3,2019-05-29,10000557,2001049
800331,The product is on sale.,9,2019-12-15,10000560,2001052
800332,The product is on sale.,19,2019-11-05,10000563,2001055
800333,The product is on sale.,7,2019-10-28,10000566,2001058
800334,The product is on sale.,16,2020-01-18,10000569,2001061
800335,The product is on sale.,2,2019-09-12,10000572,2001064
800336,The product is on sale.,19,2019-08-05,10000575,2001067
800337,The product is on sale.,8,2019-09-06,10000578,2001070
800338,The product is on sale.,17,2019-07-31,10000581,2001073
800339,The product is on sale.,20,2019-12-26,10000584,2001076
800340,The product is on sale.,15,2019-07-23,10000587,2001079
800341,The product is on sale.,8,2019-09-15,10000590,2001082
800342,The product is on sale.,4,2019-07-04,10000593,2001085
800343,The product is on sale.,6,2019-08-31,10000596,2001088
800344,The product is on sale.,17,2019-07-12,10000599,2001091
800345,The product is on sale.,14,2019-07-17,10000602,2001094
800346,The product is on sale.,12,2019-12-17,10000605,2001097
800347,The product is on sale.,17,2020-01-06,10000608,2001100
800348,The product is on sale.,7,2019-10-24,10000611,2001103
800349,The product is on sale.,11,2019-12-12,10000614,2001106
800350,The product is on sale.,1,2019-07-28,10000617,2001109
800351,The product is on sale.,3,2019-06-17,10000620,2001112
800352,The product is on sale.,2,2019-08-16,10000623,2001115
800353,The product is on sale.,8,2020-01-18,10000626,2001118
800354,The product is on sale.,11,2019-08-16,10000629,2001121
800355,The product is on sale.,13,2020-01-18,10000632,2001124
800356,The product is on sale.,11,2019-08-27,10000635,2001127
800357,The product is on sale.,3,2019-07-22,10000638,2001130
800358,The product is on sale.,20,2020-01-11,10000641,2001133
800359,The product is on sale.,20,2019-07-07,10000644,2001136
800360,The product is on sale.,10,2019-12-09,10000647,2001139
800361,The product is on sale.,20,2019-11-27,10000650,2001142
800362,The product is on sale.,3,2020-01-23,10000653,2001145
800363,The product is on sale.,9,2019-11-13,10000656,2001148
800364,The product is on sale.,5,2019-11-16,10000659,2001151
800365,The product is on sale.,8,2019-07-02,10000662,2001154
800366,The product is on sale.,6,2019-08-24,10000665,2001157
800367,The product is on sale.,11,2019-09-10,10000668,2001160
800368,The product is on sale.,14,2019-10-15,10000671,2001163
800369,The product is on sale.,7,2020-01-15,10000674,2001166
800370,The product is on sale.,20,2019-05-19,10000677,2001169
800371,The product is on sale.,18,2019-06-17,10000680,2001172
800372,The product is on sale.,11,2019-08-06,10000683,2001175
800373,The product is on sale.,16,2019-09-28,10000686,2001178
800374,The product is on sale.,15,2019-05-11,10000689,2001181
800375,The product is on sale.,5,2019-11-22,10000692,2001184
800376,The product is on sale.,19,2019-05-29,10000695,2001187
800377,The product is on sale.,18,2019-07-19,10000698,2001190
800378,The product is on sale.,8,2019-09-24,10000701,2001193
800379,The product is on sale.,3,2019-12-09,10000704,2001196
800380,The product is on sale.,15,2019-06-07,10000707,2001199
800381,The product is on sale.,15,2019-10-27,10000710,2001202
800382,The product is on sale.,12,2019-10-30,10000713,2001205
800383,The product is on sale.,15,2019-12-04,10000716,2001208
800384,The product is on sale.,18,2019-09-03,10000719,2001211
800385,The product is on sale.,4,2019-10-06,10000722,2001214
800386,The product is on sale.,3,2019-09-26,10000725,2001217
800387,The product is on sale.,5,2019-10-31,10000728,2001220
800388,The product is on sale.,2,2019-12-24,10000731,2001223
800389,The product is on sale.,9,2019-06-05,10000734,2001226
800390,The product is on sale.,11,2019-08-11,10000737,2001229
800391,The product is on sale.,15,2019-06-20,10000740,2001232
800392,The product is on sale.,10,2019-06-26,10000743,2001235
800393,The product is on sale.,12,2019-08-02,10000746,2001238
800394,The product is on sale.,2,2019-07-14,10000749,2001241
800395,The product is on sale.,6,2019-11-25,10000752,2001244
800396,The product is on sale.,10,2019-10-07,10000755,2001247
800397,The product is on sale.,3,2019-09-19,10000758,2001250
800398,The product is on sale.,3,2019-11-04,10000761,2001253
800399,The product is on sale.,6,2019-09-24,10000764,2001256
800400,The product is on sale.,5,2019-08-27,10000767,2001259
800401,The product is on sale.,4,2019-10-18,10000770,2001262
800402,The product is on sale.,10,2019-09-12,10000773,2001265
800403,The product is on sale.,10,2019-12-26,10000776,2001268
800404,The product is on sale.,8,2019-09-24,10000779,2001271
800405,The product is on sale.,17,2019-07-05,10000782,2001274
800406,The product is on sale.,14,2019-12-23,10000785,2001277
800407,The product is on sale.,3,2020-01-05,10000788,2001280
800408,The product is on sale.,15,2019-10-20,10000791,2001283
800409,The product is on sale.,10,2019-11-10,10000794,2001286
800410,The product is on sale.,11,2019-11-05,10000797,2001289
800411,The product is on sale.,13,2019-08-30,10000800,2001292
800412,The product is on sale.,8,2019-10-08,10000803,2001295
800413,The product is on sale.,11,2019-08-17,10000806,2001298
800414,The product is on sale.,9,2019-12-25,10000809,2001301
800415,The product is on sale.,3,2019-08-24,10000812,2001304
800416,The product is on sale.,13,2019-08-20,10000815,2001307
800417,The product is on sale.,18,2019-07-16,10000818,2001310
800418,The product is on sale.,9,2019-10-31,10000821,2001313
800419,The product is on sale.,14,2019-09-05,10000824,2001316
800420,The product is on sale.,2,2019-06-14,10000827,2001319
800421,The product is on sale.,16,2019-11-04,10000830,2001322
800422,The product is on sale.,5,2019-05-29,10000833,2001325
800423,The product is on sale.,9,2019-06-26,10000836,2001328
800424,The product is on sale.,19,2019-08-24,10000839,2001331
800425,The product is on sale.,5,2019-08-30,10000842,2001334
800426,The product is on sale.,6,2019-12-07,10000845,2001337
800427,The product is on sale.,19,2019-11-06,10000848,2001340
800428,The product is on sale.,9,2019-06-07,10000851,2001343
800429,The product is on sale.,15,2019-06-29,10000854,2001346
800430,The product is on sale.,3,2019-07-30,10000857,2001349
800431,The product is on sale.,20,2019-10-16,10000860,2001352
800432,The product is on sale.,4,2019-07-14,10000863,2001355
800433,The product is on sale.,2,2019-09-25,10000866,2001358
800434,The product is on sale.,5,2020-01-19,10000869,2001361
800435,The product is on sale.,19,2019-08-22,10000872,2001364
800436,The product is on sale.,14,2019-06-29,10000875,2001367
800437,The product is on sale.,13,2019-12-23,10000878,2001370
800438,The product is on sale.,4,2019-12-20,10000881,2001373
800439,The product is on sale.,12,2019-12-16,10000884,2001376
800440,The product is on sale.,15,2019-10-28,10000887,2001379
800441,The product is on sale.,11,2019-07-30,10000890,2001382
800442,The product is on sale.,2,2019-06-08,10000893,2001385
800443,The product is on sale.,6,2020-01-01,10000896,2001388
800444,The product is on sale.,9,2019-11-19,10000899,2001391
800445,The product is on sale.,8,2019-05-27,10000902,2001394
800446,The product is on sale.,3,2019-08-07,10000905,2001397
800447,The product is on sale.,5,2019-07-10,10000908,2001400
800448,The product is on sale.,5,2019-08-20,10000911,2001403
800449,The product is on sale.,8,2019-07-24,10000914,2001406
800450,The product is on sale.,8,2019-06-25,10000917,2001409
800451,The product is on sale.,17,2019-11-19,10000920,2001412
800452,The product is on sale.,5,2019-05-27,10000923,2001415
800453,The product is on sale.,4,2019-10-12,10000926,2001418
800454,The product is on sale.,16,2019-09-23,10000929,2001421
800455,The product is on sale.,2,2019-12-02,10000932,2001424
800456,The product is on sale.,4,2019-06-08,10000935,2001427
800457,The product is on sale.,10,2019-06-17,10000938,2001430
800458,The product is on sale.,14,2020-01-20,10000941,2001433
800459,The product is on sale.,7,2019-08-23,10000944,2001436
800460,The product is on sale.,19,2019-07-28,10000947,2001439
800461,The product is on sale.,4,2019-12-20,10000950,2001442
800462,The product is on sale.,6,2019-12-02,10000953,2001445
800463,The product is on sale.,17,2019-12-22,10000956,2001448
800464,The product is on sale.,9,2019-11-18,10000959,2001451
800465,The product is on sale.,3,2019-05-31,10000962,2001454
800466,The product is on sale.,9,2019-06-30,10000965,2001457
800467,The product is on sale.,1,2019-06-14,10000968,2001460
800468,The product is on sale.,15,2020-01-05,10000971,2001463
800469,The product is on sale.,6,2019-12-10,10000974,2001466
800470,The product is on sale.,12,2019-06-30,10000977,2001469
800471,The product is on sale.,3,2019-05-29,10000980,2001472
800472,The product is on sale.,9,2019-08-22,10000983,2001475
800473,The product is on sale.,2,2019-05-11,10000986,2001478
800474,The product is on sale.,18,2019-07-17,10000989,2001481
800475,The product is on sale.,4,2019-11-09,10000992,2001484
800476,The product is on sale.,16,2019-08-12,10000995,2001487
800477,The product is on sale.,20,2019-09-04,10000998,2001490
800478,The product is on sale.,14,2019-12-25,10001001,2001493
800479,The product is on sale.,8,2019-09-25,10001004,2001496
800480,The product is on sale.,1,2019-08-01,10001007,2001499
800481,The product is on sale.,16,2019-12-29,10001010,2001502
800482,The product is on sale.,11,2019-08-31,10001013,2001505
800483,The product is on sale.,15,2020-01-13,10001016,2001508
800484,The product is on sale.,15,2019-08-23,10001019,2001511
800485,The product is on sale.,19,2019-06-09,10001022,2001514
800486,The product is on sale.,13,2019-05-14,10001025,2001517
800487,The product is on sale.,9,2019-12-15,10001028,2001520
800488,The product is on sale.,20,2019-07-27,10001031,2001523
800489,The product is on sale.,9,2019-10-02,10001034,2001526
800490,The product is on sale.,14,2019-11-29,10001037,2001529
800491,The product is on sale.,17,2019-12-25,10001040,2001532
800492,The product is on sale.,5,2019-06-25,10001043,2001535
800493,The product is on sale.,1,2019-08-09,10001046,2001538
800494,The product is on sale.,20,2019-06-11,10001049,2001541
800495,The product is on sale.,8,2019-07-09,10001052,2001544
800496,The product is on sale.,16,2019-05-25,10001055,2001547
800497,The product is on sale.,2,2020-01-02,10001058,2001550
800498,The product is on sale.,16,2019-09-06,10001061,2001553
800499,The product is on sale.,3,2019-11-06,10001064,2001556
800500,The product is on sale.,10,2019-05-25,10001067,2001559
800501,The product is on sale.,8,2019-10-03,10001070,2001562
800502,The product is on sale.,7,2019-11-01,10001073,2001565
800503,The product is on sale.,17,2019-11-05,10001076,2001568
800504,The product is on sale.,18,2019-06-01,10001079,2001571
800505,The product is on sale.,14,2019-09-20,10001082,2001574
800506,The product is on sale.,1,2019-11-13,10001085,2001577
800507,The product is on sale.,18,2020-01-23,10001088,2001580
800508,The product is on sale.,11,2019-11-19,10001091,2001583
800509,The product is on sale.,9,2019-09-27,10001094,2001586
800510,The product is on sale.,2,2019-06-04,10001097,2001589
800511,The product is on sale.,14,2019-12-31,10001100,2001592
800512,The product is on sale.,14,2019-09-15,10001103,2001595
800513,The product is on sale.,9,2019-10-02,10001106,2001598
800514,The product is on sale.,3,2019-11-24,10001109,2001601
800515,The product is on sale.,3,2019-12-08,10001112,2001604
800516,The product is on sale.,7,2019-06-02,10001115,2001607
800517,The product is on sale.,10,2019-05-14,10001118,2001610
800518,The product is on sale.,7,2019-05-27,10001121,2001613
800519,The product is on sale.,11,2019-10-18,10001124,2001616
800520,The product is on sale.,1,2019-10-08,10001127,2001619
800521,The product is on sale.,6,2019-05-16,10001130,2001622
800522,The product is on sale.,12,2019-08-09,10001133,2001625
800523,The product is on sale.,17,2020-01-07,10001136,2001628
800524,The product is on sale.,20,2019-11-13,10001139,2001631
800525,The product is on sale.,6,2019-08-03,10001142,2001634
800526,The product is on sale.,16,2019-06-12,10001145,2001637
800527,The product is on sale.,9,2019-07-11,10001148,2001640
800528,The product is on sale.,5,2019-12-09,10001151,2001643
800529,The product is on sale.,12,2020-01-03,10001154,2001646
800530,The product is on sale.,16,2019-05-30,10001157,2001649
800531,The product is on sale.,5,2019-10-04,10001160,2001652
800532,The product is on sale.,11,2019-08-05,10001163,2001655
800533,The product is on sale.,8,2019-12-09,10001166,2001658
800534,The product is on sale.,12,2019-10-06,10001169,2001661
800535,The product is on sale.,6,2019-05-11,10001172,2001664
800536,The product is on sale.,9,2019-09-20,10001175,2001667
800537,The product is on sale.,10,2019-11-20,10001178,2001670
800538,The product is on sale.,17,2019-10-15,10001181,2001673
800539,The product is on sale.,2,2019-05-14,10001184,2001676
800540,The product is on sale.,14,2020-01-22,10001187,2001679
800541,The product is on sale.,12,2019-06-08,10001190,2001682
800542,The product is on sale.,15,2019-09-18,10001193,2001685
800543,The product is on sale.,1,2019-12-16,10001196,2001688
800544,The product is on sale.,20,2019-05-23,10001199,2001691
800545,The product is on sale.,10,2019-11-15,10001202,2001694
800546,The product is on sale.,12,2019-11-20,10001205,2001697
800547,The product is on sale.,1,2019-12-06,10001208,2001700
800548,The product is on sale.,14,2019-09-21,10001211,2001703
800549,The product is on sale.,10,2019-08-26,10001214,2001706
800550,The product is on sale.,2,2019-05-25,10001217,2001709
800551,The product is on sale.,17,2020-01-13,10001220,2001712
800552,The product is on sale.,15,2019-06-03,10001223,2001715
800553,The product is on sale.,3,2019-09-20,10001226,2001718
800554,The product is on sale.,10,2019-05-14,10001229,2001721
800555,The product is on sale.,12,2019-10-05,10001232,2001724
800556,The product is on sale.,2,2019-11-01,10001235,2001727
800557,The product is on sale.,1,2019-09-22,10001238,2001730
800558,The product is on sale.,9,2019-07-08,10001241,2001733
800559,The product is on sale.,8,2020-01-07,10001244,2001736
800560,The product is on sale.,15,2019-10-23,10001247,2001739
800561,The product is on sale.,3,2019-11-26,10001250,2001742
800562,The product is on sale.,19,2019-08-10,10001253,2001745
800563,The product is on sale.,19,2019-08-27,10001256,2001748
800564,The product is on sale.,10,2019-10-04,10001259,2001751
800565,The product is on sale.,7,2019-07-10,10001262,2001754
800566,The product is on sale.,15,2019-12-31,10001265,2001757
800567,The product is on sale.,15,2019-06-23,10001268,2001760
800568,The product is on sale.,16,2019-08-10,10001271,2001763
800569,The product is on sale.,11,2019-05-31,10001274,2001766
800570,The product is on sale.,3,2019-06-11,10001277,2001769
800571,The product is on sale.,17,2019-09-22,10001280,2001772
800572,The product is on sale.,12,2019-06-17,10001283,2001775
800573,The product is on sale.,15,2020-01-23,10001286,2001778
800574,The product is on sale.,10,2019-06-04,10001289,2001781
800575,The product is on sale.,17,2020-01-06,10001292,2001784
800576,The product is on sale.,6,2019-10-25,10001295,2001787
800577,The product is on sale.,11,2019-11-02,10001298,2001790
800578,The product is on sale.,15,2020-01-23,10001301,2001793
800579,The product is on sale.,5,2019-08-21,10001304,2001796
800580,The product is on sale.,3,2019-11-26,10001307,2001799
800581,The product is on sale.,15,2019-06-25,10001310,2001802
800582,The product is on sale.,18,2019-09-11,10001313,2001805
800583,The product is on sale.,5,2019-07-30,10001316,2001808
800584,The product is on sale.,10,2019-05-19,10001319,2001811
800585,The product is on sale.,3,2019-06-02,10001322,2001814
800586,The product is on sale.,5,2019-08-24,10001325,2001817
800587,The product is on sale.,15,2019-09-11,10001328,2001820
800588,The product is on sale.,6,2019-12-08,10001331,2001823
800589,The product is on sale.,7,2019-06-17,10001334,2001826
800590,The product is on sale.,4,2019-09-05,10001337,2001829
800591,The product is on sale.,8,2020-01-01,10001340,2001832
800592,The product is on sale.,16,2019-09-10,10001343,2001835
800593,The product is on sale.,4,2019-10-31,10001346,2001838
800594,The product is on sale.,15,2019-12-21,10001349,2001841
800595,The product is on sale.,6,2019-12-09,10001352,2001844
800596,The product is on sale.,6,2019-06-23,10001355,2001847
800597,The product is on sale.,18,2019-11-24,10001358,2001850
800598,The product is on sale.,12,2019-07-14,10001361,2001853
800599,The product is on sale.,14,2019-10-13,10001364,2001856
800600,The product is on sale.,16,2019-09-26,10001367,2001859
800601,The product is on sale.,20,2019-12-16,10001370,2001862
800602,The product is on sale.,6,2019-06-12,10001373,2001865
800603,The product is on sale.,14,2019-06-04,10001376,2001868
800604,The product is on sale.,19,2019-12-19,10001379,2001871
800605,The product is on sale.,8,2019-12-30,10001382,2001874
800606,The product is on sale.,6,2019-06-21,10001385,2001877
800607,The product is on sale.,2,2019-08-05,10001388,2001880
800608,The product is on sale.,7,2019-09-20,10001391,2001883
800609,The product is on sale.,7,2019-09-16,10001394,2001886
800610,The product is on sale.,1,2019-12-30,10001397,2001889
800611,The product is on sale.,19,2019-09-10,10001400,2001892
800612,The product is on sale.,19,2019-12-22,10001403,2001895
800613,The product is on sale.,17,2019-05-13,10001406,2001898
800614,The product is on sale.,18,2019-10-16,10001409,2001901
800615,The product is on sale.,6,2019-10-23,10001412,2001904
800616,The product is on sale.,20,2019-09-03,10001415,2001907
800617,The product is on sale.,3,2019-10-17,10001418,2001910
800618,The product is on sale.,16,2019-08-07,10001421,2001913
800619,The product is on sale.,16,2019-09-22,10001424,2001916
800620,The product is on sale.,6,2019-08-02,10001427,2001919
800621,The product is on sale.,11,2019-12-17,10001430,2001922
800622,The product is on sale.,13,2019-12-24,10001433,2001925
800623,The product is on sale.,11,2019-11-27,10001436,2001928
800624,The product is on sale.,7,2019-08-06,10001439,2001931
800625,The product is on sale.,14,2019-10-04,10001442,2001934
800626,The product is on sale.,13,2019-09-05,10001445,2001937
800627,The product is on sale.,11,2019-12-26,10001448,2001940
800628,The product is on sale.,1,2020-01-16,10001451,2001943
800629,The product is on sale.,14,2019-06-17,10001454,2001946
800630,The product is on sale.,2,2019-11-26,10001457,2001949
800631,The product is on sale.,8,2019-08-12,10001460,2001952
800632,The product is on sale.,11,2019-06-06,10001463,2001955
800633,The product is on sale.,11,2020-01-16,10001466,2001958
800634,The product is on sale.,12,2019-10-04,10001469,2001961
800635,The product is on sale.,12,2020-01-05,10001472,2001964
800636,The product is on sale.,10,2020-01-14,10001475,2001967
800637,The product is on sale.,12,2019-12-31,10001478,2001970
800638,The product is on sale.,20,2019-10-12,10001481,2001973
800639,The product is on sale.,16,2019-06-06,10001484,2001976
800640,The product is on sale.,14,2019-10-05,10001487,2001979
800641,The product is on sale.,16,2019-11-14,10001490,2001982
800642,The product is on sale.,17,2019-10-22,10001493,2001985
800643,The product is on sale.,18,2019-09-13,10001496,2001988
800644,The product is on sale.,20,2019-06-27,10001499,2001991
800645,The product is on sale.,15,2019-08-17,10001502,2001994
800646,The product is on sale.,4,2019-05-27,10001505,2001997
800647,The product is on sale.,2,2019-08-27,10001508,2002000
