policyNumber,validity,refundPercent,orderNumber,productId
AS150144,11,56,8002418,2001208
AS150145,8,56,8002438,2001214
AS150146,10,42,8002458,2001220
AS150147,7,65,8002478,2001226
AS150148,14,44,8002498,2001232
AS150149,12,45,8002518,2001238
AS150150,5,45,8002538,2001244
AS150151,5,47,8002558,2001250
AS150152,8,50,8002578,2001256
AS150153,9,47,8002598,2001262
AS150154,5,67,8002618,2001268
AS150155,8,50,8002638,2001274
AS150156,14,70,8002658,2001280
AS150157,7,42,8002678,2001286
AS150158,5,44,8002698,2001292
AS150159,10,61,8002718,2001298
AS150160,12,54,8002738,2001304
AS150161,9,55,8002758,2001310
AS150162,6,47,8002778,2001316
AS150163,5,47,8002798,2001322
AS150164,9,62,8002818,2001328
AS150165,10,63,8002838,2001334
AS150166,11,68,8002858,2001340
AS150167,12,56,8002878,2001346
AS150168,10,58,8002898,2001352
AS150169,12,40,8002918,2001358
AS150170,10,50,8002938,2001364
AS150171,14,63,8002958,2001370
AS150172,9,65,8002978,2001376
AS150173,9,66,8002998,2001382
AS150174,10,56,8003018,2001388
AS150175,10,44,8003038,2001394
AS150176,10,62,8003058,2001400
AS150177,7,53,8003078,2001406
AS150178,12,61,8003098,2001412
AS150179,5,59,8003118,2001418
AS150180,8,49,8003138,2001424
AS150181,13,66,8003158,2001430
AS150182,9,52,8003178,2001436
AS150183,7,49,8003198,2001442
AS150184,7,41,8003218,2001448
AS150185,7,62,8003238,2001454
AS150186,7,58,8003258,2001460
AS150187,6,64,8003278,2001466
AS150188,8,67,8003298,2001472
AS150189,12,51,8003318,2001478
AS150190,14,56,8003338,2001484
AS150191,6,58,8003358,2001490
AS150192,10,70,8003378,2001496
AS150193,6,43,8003398,2001502
AS150194,12,44,8003418,2001508
AS150195,9,40,8003438,2001514
AS150196,11,48,8003458,2001520
AS150197,9,49,8003478,2001526
AS150198,14,54,8003498,2001532
AS150199,11,42,8003518,2001538
AS150200,10,60,8003538,2001544
AS150201,6,63,8003558,2001550
AS150202,6,46,8003578,2001556
AS150203,8,63,8003598,2001562
AS150204,14,42,8003618,2001568
AS150205,7,49,8003638,2001574
AS150206,13,62,8003658,2001580
AS150207,7,47,8003678,2001586
AS150208,12,45,8003698,2001592
AS150209,6,43,8003718,2001598
AS150210,12,49,8003738,2001604
AS150211,13,69,8003758,2001610
AS150212,14,49,8003778,2001616
AS150213,7,47,8003798,2001622
AS150214,11,54,8003818,2001628
AS150215,14,50,8003838,2001634
AS150216,13,51,8003858,2001640
AS150217,13,64,8003878,2001646
AS150218,14,55,8003898,2001652
AS150219,10,64,8003918,2001658
AS150220,9,70,8003938,2001664
AS150221,5,62,8003958,2001670
AS150222,13,42,8003978,2001676
AS150223,12,63,8003998,2001682
AS150224,7,58,8004018,2001688
AS150225,14,43,8004038,2001694
AS150226,10,51,8004058,2001700
AS150227,14,60,8004078,2001706
AS150228,14,51,8004098,2001712
AS150229,13,65,8004118,2001718
AS150230,8,55,8004138,2001724
AS150231,13,64,8004158,2001730
AS150232,7,49,8004178,2001736
AS150233,10,63,8004198,2001742
AS150234,12,68,8004218,2001748
AS150235,6,46,8004238,2001754
AS150236,13,57,8004258,2001760
AS150237,14,42,8004278,2001766
AS150238,10,69,8004298,2001772
AS150239,12,58,8004318,2001778
AS150240,10,67,8004338,2001784
AS150241,11,59,8004358,2001790
AS150242,9,54,8004378,2001796
AS150243,9,54,8004398,2001802
AS150244,12,41,8004418,2001808
AS150245,13,66,8004438,2001814
AS150246,9,63,8004458,2001820
AS150247,6,54,8004478,2001826
AS150248,9,68,8004498,2001832
AS150249,8,52,8004518,2001838
AS150250,8,58,8004538,2001844
AS150251,7,64,8004558,2001850
AS150252,5,69,8004578,2001856
AS150253,9,57,8004598,2001862
AS150254,12,47,8004618,2001868
AS150255,6,66,8004638,2001874
AS150256,10,47,8004658,2001880
AS150257,5,61,8004678,2001886
AS150258,9,70,8004698,2001892
AS150259,13,42,8004718,2001898
AS150260,6,63,8004738,2001904
AS150261,5,56,8004758,2001910
AS150262,6,60,8004778,2001916
AS150263,14,45,8004798,2001922
AS150264,6,45,8004818,2001928
AS150265,12,42,8004838,2001934
AS150266,6,57,8004858,2001940
AS150267,9,63,8004878,2001946
AS150268,12,64,8004898,2001952
AS150269,7,49,8004918,2001958
AS150270,8,42,8004938,2001964
AS150271,7,48,8004958,2001970
AS150272,11,61,8004978,2001976
AS150273,12,44,8004998,2001982
AS150274,6,56,8005018,2001988
AS150275,12,60,8005038,2001994
AS150276,8,45,8005058,2002000
AS150277,7,47,8005078,2002006
AS150278,14,66,8005098,2002012
AS150279,9,69,8005118,2002018
AS150280,10,65,8005138,2002024
AS150281,13,50,8005158,2002030
AS150282,10,60,8005178,2002036
AS150283,14,59,8005198,2002042
AS150284,9,54,8005218,2002048
AS150285,5,57,8005238,2002054
AS150286,10,56,8005258,2002060
AS150287,11,41,8005278,2002066
AS150288,7,58,8005298,2002072
AS150289,13,60,8005318,2002078
AS150290,14,69,8005338,2002084
AS150291,10,40,8005358,2002090
AS150292,8,45,8005378,2002096
AS150293,8,64,8005398,2002102
AS150294,8,46,8005418,2002108
AS150295,10,57,8005438,2002114
AS150296,10,56,8005458,2002120
AS150297,7,54,8005478,2002126
AS150298,6,45,8005498,2002132
AS150299,11,46,8005518,2002138
AS150300,6,40,8005538,2002144
AS150301,10,68,8005558,2002150
AS150302,7,55,8005578,2002156
AS150303,7,65,8005598,2002162
AS150304,8,57,8005618,2002168
AS150305,11,45,8005638,2002174
AS150306,6,49,8005658,2002180
AS150307,14,53,8005678,2002186
AS150308,13,58,8005698,2002192
AS150309,13,40,8005718,2002198
AS150310,8,51,8005738,2002204
AS150311,6,67,8005758,2002210
AS150312,8,57,8005778,2002216
AS150313,7,51,8005798,2002222
AS150314,14,70,8005818,2002228
AS150315,7,50,8005838,2002234
AS150316,7,47,8005858,2002240
AS150317,12,68,8005878,2002246
AS150318,9,68,8005898,2002252
AS150319,8,65,8005918,2002258
AS150320,10,65,8005938,2002264
AS150321,10,61,8005958,2002270
AS150322,5,52,8005978,2002276
AS150323,9,68,8005998,2002282
AS150324,14,46,8006018,2002288
AS150325,13,58,8006038,2002294
AS150326,5,42,8006058,2002300
AS150327,6,42,8006078,2002306
AS150328,7,60,8006098,2002312
AS150329,13,50,8006118,2002318
AS150330,5,68,8006138,2002324
AS150331,8,52,8006158,2002330
AS150332,7,44,8006178,2002336
AS150333,5,57,8006198,2002342
AS150334,12,56,8006218,2002348
AS150335,7,55,8006238,2002354
AS150336,5,44,8006258,2002360
AS150337,6,61,8006278,2002366
AS150338,5,59,8006298,2002372
AS150339,9,59,8006318,2002378
AS150340,12,57,8006338,2002384
AS150341,5,67,8006358,2002390
AS150342,9,48,8006378,2002396
AS150343,8,42,8006398,2002402
AS150344,11,61,8006418,2002408
AS150345,10,48,8006438,2002414
AS150346,10,44,8006458,2002420
AS150347,14,63,8006478,2002426
AS150348,7,59,8006498,2002432
AS150349,10,70,8006518,2002438
AS150350,10,50,8006538,2002444
AS150351,14,57,8006558,2002450
AS150352,7,64,8006578,2002456
AS150353,9,42,8006598,2002462
AS150354,12,62,8006618,2002468
AS150355,12,61,8006638,2002474
AS150356,13,63,8006658,2002480
AS150357,6,59,8006678,2002486
AS150358,6,69,8006698,2002492
AS150359,12,58,8006718,2002498
AS150360,5,46,8006738,2002504
AS150361,10,46,8006758,2002510
AS150362,14,58,8006778,2002516
AS150363,13,60,8006798,2002522
AS150364,12,61,8006818,2002528
AS150365,7,43,8006838,2002534
AS150366,13,64,8006858,2002540
AS150367,13,55,8006878,2002546
AS150368,7,52,8006898,2002552
AS150369,7,49,8006918,2002558
AS150370,11,45,8006938,2002564
AS150371,10,42,8006958,2002570
AS150372,9,43,8006978,2002576
AS150373,8,51,8006998,2002582
AS150374,6,62,8007018,2002588
AS150375,5,65,8007038,2002594
AS150376,10,66,8007058,2002600
AS150377,8,67,8007078,2002606
AS150378,14,65,8007098,2002612
AS150379,5,49,8007118,2002618
AS150380,8,55,8007138,2002624
AS150381,7,43,8007158,2002630
AS150382,9,47,8007178,2002636
AS150383,6,68,8007198,2002642
AS150384,5,51,8007218,2002648
AS150385,6,54,8007238,2002654
AS150386,11,52,8007258,2002660
AS150387,5,45,8007278,2002666
AS150388,6,67,8007298,2002672
AS150389,12,45,8007318,2002678
AS150390,14,55,8007338,2002684
AS150391,14,52,8007358,2002690
AS150392,10,68,8007378,2002696
AS150393,7,41,8007398,2002702
AS150394,13,59,8007418,2002708
AS150395,11,56,8007438,2002714
AS150396,6,68,8007458,2002720
AS150397,9,60,8007478,2002726
AS150398,13,45,8007498,2002732
AS150399,7,44,8007518,2002738
AS150400,7,41,8007538,2002744
AS150401,11,58,8007558,2002750
AS150402,10,49,8007578,2002756
AS150403,13,45,8007598,2002762
AS150404,9,62,8007618,2002768
AS150405,13,56,8007638,2002774
AS150406,11,59,8007658,2002780
AS150407,8,58,8007678,2002786
AS150408,14,57,8007698,2002792
AS150409,7,44,8007718,2002798
AS150410,13,65,8007738,2002804
AS150411,14,57,8007758,2002810
AS150412,9,40,8007778,2002816
AS150413,9,54,8007798,2002822
AS150414,11,66,8007818,2002828
AS150415,10,58,8007838,2002834
AS150416,12,48,8007858,2002840
AS150417,12,43,8007878,2002846
AS150418,7,51,8007898,2002852
AS150419,5,55,8007918,2002858
AS150420,8,68,8007938,2002864
AS150421,7,41,8007958,2002870
AS150422,7,55,8007978,2002876
AS150423,5,52,8007998,2002882
AS150424,7,44,8008018,2002888
AS150425,10,59,8008038,2002894
AS150426,12,46,8008058,2002900
AS150427,11,49,8008078,2002906
AS150428,12,41,8008098,2002912
AS150429,14,54,8008118,2002918
AS150430,12,41,8008138,2002924
AS150431,6,61,8008158,2002930
AS150432,14,63,8008178,2002936
AS150433,5,47,8008198,2002942
AS150434,6,64,8008218,2002948
AS150435,12,70,8008238,2002954
AS150436,13,65,8008258,2002960
AS150437,11,47,8008278,2002966
AS150438,8,58,8008298,2002972
AS150439,9,56,8008318,2002978
AS150440,9,53,8008338,2002984
AS150441,7,40,8008358,2002990
AS150442,13,58,8008378,2002996
AS150443,5,57,8008398,2003002
AS150444,7,46,8008418,2003008
AS150445,14,70,8008438,2003014
AS150446,9,52,8008458,2003020
AS150447,11,65,8008478,2003026
AS150448,6,67,8008498,2003032
AS150449,5,47,8008518,2003038
AS150450,11,43,8008538,2003044
AS150451,12,61,8008558,2003050
AS150452,6,54,8008578,2003056
AS150453,12,61,8008598,2003062
AS150454,8,60,8008618,2003068
AS150455,14,53,8008638,2003074
AS150456,7,68,8008658,2003080
AS150457,5,50,8008678,2003086
AS150458,7,58,8008698,2003092
AS150459,7,69,8008718,2003098
AS150460,8,48,8008738,2003104
AS150461,7,43,8008758,2003110
AS150462,6,69,8008778,2003116
AS150463,10,59,8008798,2003122
AS150464,10,54,8008818,2003128
AS150465,13,66,8008838,2003134
AS150466,10,69,8008858,2003140
AS150467,5,69,8008878,2003146
AS150468,9,43,8008898,2003152
AS150469,11,56,8008918,2003158
AS150470,6,50,8008938,2003164
AS150471,12,57,8008958,2003170
AS150472,7,69,8008978,2003176
AS150473,9,41,8008998,2003182
AS150474,7,42,8009018,2003188
AS150475,12,62,8009038,2003194
AS150476,12,53,8009058,2003200
AS150477,9,65,8009078,2003206
AS150478,6,45,8009098,2003212
AS150479,12,62,8009118,2003218
AS150480,10,41,8009138,2003224
AS150481,13,61,8009158,2003230
AS150482,5,62,8009178,2003236
AS150483,9,70,8009198,2003242
AS150484,13,52,8009218,2003248
AS150485,12,58,8009238,2003254
AS150486,12,57,8009258,2003260
AS150487,8,46,8009278,2003266
AS150488,10,70,8009298,2003272
AS150489,13,52,8009318,2003278
AS150490,13,65,8009338,2003284
AS150491,11,52,8009358,2003290
AS150492,5,54,8009378,2003296
AS150493,13,68,8009398,2003302
AS150494,5,53,8009418,2003308
AS150495,5,70,8009438,2003314
AS150496,11,42,8009458,2003320
AS150497,14,60,8009478,2003326
AS150498,8,68,8009498,2003332
AS150499,9,54,8009518,2003338
AS150500,8,55,8009538,2003344
AS150501,8,56,8009558,2003350
AS150502,11,51,8009578,2003356
AS150503,14,66,8009598,2003362
AS150504,5,41,8009618,2003368
AS150505,10,60,8009638,2003374
AS150506,8,57,8009658,2003380
AS150507,12,57,8009678,2003386
AS150508,13,44,8009698,2003392
AS150509,10,59,8009718,2003398
AS150510,7,46,8009738,2003404
AS150511,7,66,8009758,2003410
AS150512,10,70,8009778,2003416
AS150513,8,59,8009798,2003422
AS150514,12,41,8009818,2003428
AS150515,10,45,8009838,2003434
AS150516,8,53,8009858,2003440
AS150517,9,59,8009878,2003446
AS150518,5,48,8009898,2003452
AS150519,12,62,8009918,2003458
AS150520,6,59,8009938,2003464
AS150521,11,46,8009958,2003470
AS150522,9,67,8009978,2003476
AS150523,12,56,8009998,2003482
AS150524,8,59,8010018,2003488
AS150525,8,51,8010038,2003494
AS150526,13,69,8010058,2003500
AS150527,7,48,8010078,2003506
AS150528,7,47,8010098,2003512
AS150529,11,40,8010118,2003518
AS150530,9,57,8010138,2003524
AS150531,6,54,8010158,2003530
AS150532,8,41,8010178,2003536
AS150533,14,49,8010198,2003542
AS150534,6,60,8010218,2003548
AS150535,13,46,8010238,2003554
AS150536,12,62,8010258,2003560
AS150537,9,54,8010278,2003566
AS150538,5,49,8010298,2003572
AS150539,6,47,8010318,2003578
AS150540,5,55,8010338,2003584
AS150541,7,68,8010358,2003590
AS150542,10,40,8010378,2003596
AS150543,13,52,8010398,2003602
AS150544,13,61,8010418,2003608
AS150545,12,52,8010438,2003614
AS150546,13,42,8010458,2003620
AS150547,9,43,8010478,2003626
AS150548,12,66,8010498,2003632
AS150549,8,68,8010518,2003638
AS150550,12,56,8010538,2003644
AS150551,13,53,8010558,2003650
AS150552,6,44,8010578,2003656
AS150553,10,55,8010598,2003662
AS150554,12,67,8010618,2003668
AS150555,5,66,8010638,2003674
AS150556,13,53,8010658,2003680
AS150557,11,67,8010678,2003686
AS150558,8,66,8010698,2003692
AS150559,11,48,8010718,2003698
AS150560,5,55,8010738,2003704
AS150561,8,65,8010758,2003710
AS150562,10,59,8010778,2003716
AS150563,5,44,8010798,2003722
AS150564,12,52,8010818,2003728
AS150565,11,68,8010838,2003734
AS150566,7,52,8010858,2003740
AS150567,8,55,8010878,2003746
AS150568,7,65,8010898,2003752
AS150569,6,58,8010918,2003758
AS150570,8,60,8010938,2003764
AS150571,5,41,8010958,2003770
AS150572,9,40,8010978,2003776
AS150573,13,43,8010998,2003782
AS150574,9,48,8011018,2003788
AS150575,13,55,8011038,2003794
AS150576,11,61,8011058,2003800
AS150577,13,66,8011078,2003806
AS150578,12,65,8011098,2003812
AS150579,5,57,8011118,2003818
AS150580,5,54,8011138,2003824
AS150581,10,43,8011158,2003830
AS150582,9,69,8011178,2003836
AS150583,12,55,8011198,2003842
AS150584,9,57,8011218,2003848
AS150585,6,70,8011238,2003854
AS150586,13,58,8011258,2003860
AS150587,11,60,8011278,2003866
AS150588,9,64,8011298,2003872
AS150589,14,62,8011318,2003878
AS150590,9,65,8011338,2003884
AS150591,8,60,8011358,2003890
AS150592,13,53,8011378,2003896
AS150593,7,69,8011398,2003902
AS150594,13,47,8011418,2003908
AS150595,11,57,8011438,2003914
AS150596,14,67,8011458,2003920
AS150597,14,44,8011478,2003926
AS150598,14,50,8011498,2003932
AS150599,13,50,8011518,2003938
AS150600,7,68,8011538,2003944
AS150601,10,50,8011558,2003950
AS150602,8,68,8011578,2003956
AS150603,5,67,8011598,2003962
AS150604,7,58,8011618,2003968
AS150605,14,42,8011638,2003974
AS150606,9,69,8011658,2003980
AS150607,7,58,8011678,2003986
AS150608,7,47,8011698,2003992
AS150609,12,43,8011718,2003998
AS150610,11,45,8011738,2004004
AS150611,11,55,8011758,2004010
AS150612,13,70,8011778,2004016
AS150613,13,47,8011798,2004022
AS150614,7,45,8011818,2004028
AS150615,14,41,8011838,2004034
AS150616,5,44,8011858,2004040
AS150617,9,68,8011878,2004046
AS150618,9,57,8011898,2004052
AS150619,5,62,8011918,2004058
AS150620,6,51,8011938,2004064
AS150621,5,46,8011958,2004070
AS150622,7,47,8011978,2004076
AS150623,9,60,8011998,2004082
AS150624,10,48,8012018,2004088
AS150625,11,40,8012038,2004094
AS150626,8,44,8012058,2004100
AS150627,11,49,8012078,2004106
AS150628,8,59,8012098,2004112
AS150629,12,43,8012118,2004118
AS150630,14,41,8012138,2004124
AS150631,11,68,8012158,2004130
AS150632,10,55,8012178,2004136
AS150633,7,51,8012198,2004142
AS150634,8,50,8012218,2004148
AS150635,6,48,8012238,2004154
AS150636,10,49,8012258,2004160
AS150637,12,42,8012278,2004166
AS150638,9,40,8012298,2004172
AS150639,9,42,8012318,2004178
AS150640,9,47,8012338,2004184
AS150641,7,45,8012358,2004190
AS150642,8,69,8012378,2004196
AS150643,14,42,8012398,2004202
AS150644,9,68,8012418,2004208
AS150645,5,56,8012438,2004214
AS150646,7,65,8012458,2004220
AS150647,12,41,8012478,2004226
AS150648,11,56,8012498,2004232
AS150649,7,51,8012518,2004238
AS150650,10,47,8012538,2004244
AS150651,14,41,8012558,2004250
AS150652,6,46,8012578,2004256
AS150653,9,68,8012598,2004262
AS150654,5,66,8012618,2004268
AS150655,14,59,8012638,2004274
AS150656,9,55,8012658,2004280
AS150657,11,56,8012678,2004286
AS150658,5,64,8012698,2004292
AS150659,9,42,8012718,2004298
AS150660,10,69,8012738,2004304
AS150661,9,50,8012758,2004310
AS150662,9,50,8012778,2004316
AS150663,9,40,8012798,2004322
AS150664,9,55,8012818,2004328
AS150665,9,58,8012838,2004334
AS150666,10,42,8012858,2004340
AS150667,11,45,8012878,2004346
AS150668,8,51,8012898,2004352
AS150669,9,58,8012918,2004358
AS150670,13,55,8012938,2004364
AS150671,9,47,8012958,2004370
AS150672,10,49,8012978,2004376
AS150673,7,68,8012998,2004382
AS150674,11,55,8013018,2004388
AS150675,11,65,8013038,2004394
AS150676,13,63,8013058,2004400
AS150677,14,68,8013078,2004406
AS150678,10,46,8013098,2004412
AS150679,11,68,8013118,2004418
AS150680,9,62,8013138,2004424
AS150681,8,45,8013158,2004430
AS150682,7,69,8013178,2004436
AS150683,8,47,8013198,2004442
AS150684,9,54,8013218,2004448
AS150685,11,44,8013238,2004454
AS150686,8,67,8013258,2004460
AS150687,10,61,8013278,2004466
AS150688,6,61,8013298,2004472
AS150689,13,58,8013318,2004478
AS150690,6,59,8013338,2004484
AS150691,5,45,8013358,2004490
AS150692,11,50,8013378,2004496
AS150693,10,67,8013398,2004502
AS150694,10,59,8013418,2004508
AS150695,8,47,8013438,2004514
AS150696,8,45,8013458,2004520
AS150697,5,46,8013478,2004526
AS150698,13,51,8013498,2004532
AS150699,11,59,8013518,2004538
AS150700,10,57,8013538,2004544
AS150701,10,48,8013558,2004550
AS150702,6,65,8013578,2004556
AS150703,9,51,8013598,2004562
AS150704,14,55,8013618,2004568
AS150705,11,67,8013638,2004574
AS150706,8,40,8013658,2004580
AS150707,9,45,8013678,2004586
AS150708,7,58,8013698,2004592
AS150709,10,67,8013718,2004598
AS150710,13,59,8013738,2004604
AS150711,11,56,8013758,2004610
AS150712,9,57,8013778,2004616
AS150713,6,42,8013798,2004622
AS150714,7,41,8013818,2004628
AS150715,11,49,8013838,2004634
AS150716,14,50,8013858,2004640
AS150717,14,45,8013878,2004646
AS150718,6,56,8013898,2004652
AS150719,10,52,8013918,2004658
AS150720,12,48,8013938,2004664
AS150721,11,62,8013958,2004670
AS150722,11,50,8013978,2004676
AS150723,6,54,8013998,2004682
AS150724,11,61,8014018,2004688
AS150725,12,68,8014038,2004694
AS150726,12,61,8014058,2004700
AS150727,14,66,8014078,2004706
AS150728,6,44,8014098,2004712
AS150729,9,61,8014118,2004718
AS150730,6,68,8014138,2004724
AS150731,8,62,8014158,2004730
AS150732,14,51,8014178,2004736
AS150733,8,61,8014198,2004742
AS150734,8,68,8014218,2004748
AS150735,13,51,8014238,2004754
AS150736,10,56,8014258,2004760
AS150737,6,68,8014278,2004766
AS150738,6,44,8014298,2004772
AS150739,5,44,8014318,2004778
AS150740,11,49,8014338,2004784
AS150741,11,58,8014358,2004790
AS150742,10,61,8014378,2004796
AS150743,11,62,8014398,2004802
AS150744,5,63,8014418,2004808
AS150745,11,63,8014438,2004814
AS150746,8,50,8014458,2004820
AS150747,8,65,8014478,2004826
AS150748,7,67,8014498,2004832
AS150749,6,70,8014518,2004838
AS150750,9,66,8014538,2004844
AS150751,14,65,8014558,2004850
AS150752,10,46,8014578,2004856
AS150753,10,40,8014598,2004862
AS150754,7,55,8014618,2004868
AS150755,14,66,8014638,2004874
AS150756,9,55,8014658,2004880
AS150757,6,41,8014678,2004886
AS150758,8,59,8014698,2004892
AS150759,8,56,8014718,2004898
AS150760,10,67,8014738,2004904
AS150761,6,55,8014758,2004910
AS150762,14,45,8014778,2004916
AS150763,10,50,8014798,2004922
AS150764,13,63,8014818,2004928
AS150765,12,44,8014838,2004934
AS150766,14,60,8014858,2004940
AS150767,14,41,8014878,2004946
AS150768,7,50,8014898,2004952
AS150769,9,45,8014918,2004958
AS150770,12,61,8014938,2004964
AS150771,13,45,8014958,2004970
AS150772,6,49,8014978,2004976
AS150773,12,56,8014998,2004982
AS150774,8,64,8015018,2004988
AS150775,5,67,8015038,2004994
AS150776,6,48,8015058,2005000
AS150777,5,60,8015078,2005006
AS150778,9,59,8015098,2005012
AS150779,14,62,8015118,2005018
AS150780,14,49,8015138,2005024
AS150781,5,50,8015158,2005030
AS150782,14,59,8015178,2005036
AS150783,13,45,8015198,2005042
AS150784,5,69,8015218,2005048
AS150785,8,61,8015238,2005054
AS150786,12,61,8015258,2005060
AS150787,8,66,8015278,2005066
AS150788,9,45,8015298,2005072
AS150789,9,46,8015318,2005078
AS150790,9,63,8015338,2005084
AS150791,9,47,8015358,2005090
AS150792,8,64,8015378,2005096
AS150793,5,50,8015398,2005102
AS150794,8,67,8015418,2005108
AS150795,12,40,8015438,2005114
AS150796,8,66,8015458,2005120
AS150797,8,67,8015478,2005126
AS150798,10,65,8015498,2005132
AS150799,6,42,8015518,2005138
AS150800,8,63,8015538,2005144
AS150801,14,64,8015558,2005150
AS150802,14,54,8015578,2005156
AS150803,14,42,8015598,2005162
AS150804,9,67,8015618,2005168
AS150805,7,46,8015638,2005174
AS150806,9,44,8015658,2005180
AS150807,6,55,8015678,2005186
AS150808,14,43,8015698,2005192
AS150809,9,45,8015718,2005198
AS150810,13,53,8015738,2005204
AS150811,7,69,8015758,2005210
AS150812,11,70,8015778,2005216
AS150813,11,69,8015798,2005222
AS150814,10,49,8015818,2005228
AS150815,14,56,8015838,2005234
AS150816,13,53,8015858,2005240
AS150817,12,51,8015878,2005246
AS150818,6,51,8015898,2005252
AS150819,9,67,8015918,2005258
AS150820,13,44,8015938,2005264
AS150821,12,55,8015958,2005270
AS150822,10,62,8015978,2005276
AS150823,10,47,8015998,2005282
AS150824,13,63,8016018,2005288
AS150825,9,54,8016038,2005294
AS150826,5,44,8016058,2005300
AS150827,8,58,8016078,2005306
AS150828,13,48,8016098,2005312
AS150829,12,67,8016118,2005318
AS150830,6,65,8016138,2005324
AS150831,11,40,8016158,2005330
AS150832,7,54,8016178,2005336
AS150833,5,62,8016198,2005342
AS150834,11,66,8016218,2005348
AS150835,14,60,8016238,2005354
AS150836,10,51,8016258,2005360
AS150837,7,54,8016278,2005366
AS150838,6,59,8016298,2005372
AS150839,11,58,8016318,2005378
AS150840,9,47,8016338,2005384
AS150841,9,48,8016358,2005390
AS150842,6,45,8016378,2005396
AS150843,6,53,8016398,2005402
AS150844,11,52,8016418,2005408
AS150845,8,41,8016438,2005414
