cartNumber,created,AccountNumber
15490,2019-07-29,10000108
15495,2020-01-23,10000109
15500,2019-06-28,10000110
15505,2019-09-27,10000111
15510,2019-07-28,10000112
15515,2019-12-07,10000113
15520,2019-04-12,10000114
15525,2019-10-03,10000115
15530,2019-06-25,10000116
15535,2019-12-23,10000117
15540,2019-06-09,10000118
15545,2019-08-10,10000119
15550,2019-09-19,10000120
15555,2019-10-04,10000121
15560,2019-08-04,10000122
15565,2019-03-18,10000123
15570,2019-05-31,10000124
15575,2019-04-14,10000125
15580,2019-12-14,10000126
15585,2019-08-13,10000127
15590,2019-01-17,10000128
15595,2019-05-14,10000129
15600,2019-11-30,10000130
15605,2019-05-22,10000131
15610,2019-09-08,10000132
15615,2019-03-22,10000133
15620,2019-05-31,10000134
15625,2019-07-10,10000135
15630,2019-07-23,10000136
15635,2019-05-15,10000137
15640,2019-10-13,10000138
15645,2019-03-10,10000139
15650,2019-09-16,10000140
15655,2019-10-31,10000141
15660,2020-01-06,10000142
15665,2019-11-24,10000143
15670,2019-06-10,10000144
15675,2019-12-08,10000145
15680,2019-05-25,10000146
15685,2019-07-03,10000147
15690,2019-10-31,10000148
15695,2019-12-27,10000149
15700,2019-07-14,10000150
15705,2019-08-01,10000151
15710,2019-01-22,10000152
15715,2019-07-02,10000153
15720,2019-07-12,10000154
15725,2020-01-24,10000155
15730,2019-04-25,10000156
15735,2019-12-09,10000157
15740,2019-04-03,10000158
15745,2019-01-09,10000159
15750,2020-01-02,10000160
15755,2019-03-26,10000161
15760,2019-12-01,10000162
15765,2019-12-20,10000163
15770,2019-07-22,10000164
15775,2019-01-19,10000165
15780,2019-08-23,10000166
15785,2020-01-04,10000167
15790,2019-04-15,10000168
15795,2019-12-01,10000169
15800,2019-06-24,10000170
15805,2019-05-25,10000171
15810,2020-01-13,10000172
15815,2019-04-04,10000173
15820,2019-11-07,10000174
15825,2019-06-06,10000175
15830,2019-01-25,10000176
15835,2019-01-06,10000177
15840,2019-02-07,10000178
15845,2019-01-05,10000179
15850,2019-09-08,10000180
15855,2019-07-04,10000181
15860,2020-01-19,10000182
15865,2019-01-21,10000183
15870,2019-04-05,10000184
15875,2019-07-26,10000185
15880,2019-10-18,10000186
15885,2019-06-20,10000187
15890,2019-03-20,10000188
15895,2019-05-06,10000189
15900,2019-05-21,10000190
15905,2019-05-07,10000191
15910,2020-01-09,10000192
15915,2020-01-26,10000193
15920,2019-10-06,10000194
15925,2019-05-02,10000195
15930,2020-02-02,10000196
15935,2019-07-22,10000197
15940,2019-02-19,10000198
15945,2019-07-02,10000199
15950,2019-11-25,10000200
15955,2019-07-16,10000201
15960,2019-09-25,10000202
15965,2019-05-14,10000203
15970,2019-03-04,10000204
15975,2019-04-21,10000205
15980,2019-12-05,10000206
15985,2019-07-01,10000207
15990,2019-03-15,10000208
15995,2019-08-05,10000209
16000,2019-06-03,10000210
16005,2019-01-26,10000211
16010,2019-11-15,10000212
16015,2019-12-29,10000213
16020,2019-06-08,10000214
16025,2019-02-04,10000215
16030,2019-02-08,10000216
16035,2019-04-01,10000217
16040,2019-11-11,10000218
16045,2019-06-18,10000219
16050,2019-06-05,10000220
16055,2019-11-26,10000221
16060,2019-01-26,10000222
16065,2019-12-15,10000223
16070,2019-02-18,10000224
16075,2019-11-13,10000225
16080,2020-01-31,10000226
16085,2019-02-04,10000227
16090,2019-06-24,10000228
16095,2019-02-19,10000229
16100,2019-08-13,10000230
16105,2020-02-11,10000231
16110,2019-08-23,10000232
16115,2019-11-28,10000233
16120,2019-10-30,10000234
16125,2019-10-04,10000235
16130,2019-07-16,10000236
16135,2019-11-30,10000237
16140,2019-09-06,10000238
16145,2019-07-26,10000239
16150,2019-07-19,10000240
16155,2019-02-13,10000241
16160,2020-01-19,10000242
16165,2019-04-04,10000243
16170,2019-01-06,10000244
16175,2019-12-22,10000245
16180,2019-04-07,10000246
16185,2019-08-19,10000247
16190,2019-03-26,10000248
16195,2019-07-31,10000249
16200,2019-02-15,10000250
16205,2019-10-29,10000251
16210,2019-02-21,10000252
16215,2020-01-13,10000253
16220,2019-05-24,10000254
16225,2019-07-10,10000255
16230,2019-04-02,10000256
16235,2019-07-09,10000257
16240,2019-07-13,10000258
16245,2019-05-05,10000259
16250,2019-04-26,10000260
16255,2019-08-30,10000261
16260,2019-12-25,10000262
16265,2019-09-13,10000263
16270,2020-01-02,10000264
16275,2019-08-18,10000265
16280,2019-05-24,10000266
16285,2019-09-24,10000267
16290,2019-07-08,10000268
16295,2019-11-21,10000269
16300,2019-12-30,10000270
16305,2019-11-14,10000271
16310,2019-10-08,10000272
16315,2019-01-09,10000273
16320,2019-05-08,10000274
16325,2019-10-11,10000275
16330,2019-11-17,10000276
16335,2019-10-04,10000277
16340,2019-08-24,10000278
16345,2019-05-20,10000279
16350,2019-01-07,10000280
16355,2019-10-28,10000281
16360,2019-04-21,10000282
16365,2019-09-30,10000283
16370,2019-03-18,10000284
16375,2019-06-08,10000285
16380,2019-03-07,10000286
16385,2019-04-02,10000287
16390,2020-02-10,10000288
16395,2020-01-14,10000289
16400,2019-01-15,10000290
16405,2020-01-13,10000291
16410,2019-07-26,10000292
16415,2019-03-31,10000293
16420,2019-06-13,10000294
16425,2019-06-23,10000295
16430,2019-10-20,10000296
16435,2019-09-06,10000297
16440,2019-08-06,10000298
16445,2020-01-28,10000299
16450,2019-12-30,10000300
16455,2019-11-03,10000301
16460,2019-05-12,10000302
16465,2019-07-29,10000303
16470,2019-09-12,10000304
16475,2019-03-17,10000305
16480,2019-11-20,10000306
16485,2019-01-06,10000307
16490,2019-08-11,10000308
16495,2019-03-23,10000309
16500,2020-01-20,10000310
16505,2019-05-30,10000311
16510,2020-01-19,10000312
16515,2019-08-03,10000313
16520,2019-12-19,10000314
16525,2020-01-01,10000315
16530,2019-02-03,10000316
16535,2019-08-03,10000317
16540,2019-07-06,10000318
16545,2019-03-22,10000319
16550,2020-02-02,10000320
16555,2019-01-01,10000321
16560,2019-02-08,10000322
16565,2019-04-07,10000323
16570,2019-05-27,10000324
16575,2019-10-17,10000325
16580,2019-10-23,10000326
16585,2019-10-18,10000327
16590,2019-07-21,10000328
16595,2019-11-25,10000329
16600,2020-01-11,10000330
16605,2019-01-18,10000331
16610,2019-09-30,10000332
16615,2019-05-25,10000333
16620,2019-09-03,10000334
16625,2019-08-28,10000335
16630,2019-09-01,10000336
16635,2019-07-23,10000337
16640,2019-02-17,10000338
16645,2019-08-15,10000339
16650,2019-08-14,10000340
16655,2019-05-16,10000341
16660,2019-12-14,10000342
16665,2019-04-07,10000343
16670,2019-02-20,10000344
16675,2019-10-11,10000345
16680,2019-06-11,10000346
16685,2019-11-26,10000347
16690,2019-05-11,10000348
16695,2019-10-04,10000349
16700,2019-03-10,10000350
16705,2019-03-06,10000351
16710,2019-09-02,10000352
16715,2019-11-17,10000353
16720,2019-06-10,10000354
16725,2019-12-19,10000355
16730,2019-03-28,10000356
16735,2019-12-19,10000357
16740,2019-03-24,10000358
16745,2019-03-13,10000359
16750,2019-03-29,10000360
16755,2019-10-18,10000361
16760,2019-11-29,10000362
16765,2019-12-02,10000363
16770,2019-11-23,10000364
16775,2019-07-17,10000365
16780,2019-07-09,10000366
16785,2019-02-22,10000367
16790,2019-05-08,10000368
16795,2019-02-08,10000369
16800,2019-10-17,10000370
16805,2019-08-02,10000371
16810,2019-11-20,10000372
16815,2019-04-26,10000373
16820,2019-05-12,10000374
16825,2019-05-12,10000375
16830,2019-05-28,10000376
16835,2019-08-22,10000377
16840,2019-10-22,10000378
16845,2019-10-01,10000379
16850,2019-10-10,10000380
16855,2019-05-27,10000381
16860,2019-07-01,10000382
16865,2020-01-27,10000383
16870,2019-12-12,10000384
16875,2019-11-02,10000385
16880,2019-12-21,10000386
16885,2019-03-07,10000387
16890,2019-07-29,10000388
16895,2019-11-28,10000389
16900,2020-02-02,10000390
16905,2019-02-17,10000391
16910,2020-01-26,10000392
16915,2019-08-08,10000393
16920,2020-02-04,10000394
16925,2019-03-25,10000395
16930,2019-11-04,10000396
16935,2019-03-06,10000397
16940,2019-03-26,10000398
16945,2019-11-13,10000399
16950,2019-11-02,10000400
16955,2019-09-21,10000401
16960,2019-08-15,10000402
16965,2019-12-16,10000403
16970,2019-05-03,10000404
16975,2019-04-30,10000405
16980,2019-03-31,10000406
16985,2019-07-18,10000407
16990,2019-11-16,10000408
16995,2019-01-04,10000409
17000,2019-05-15,10000410
17005,2019-03-28,10000411
17010,2019-06-14,10000412
17015,2019-11-15,10000413
17020,2019-04-05,10000414
17025,2019-03-29,10000415
17030,2020-01-16,10000416
17035,2019-02-12,10000417
17040,2019-02-16,10000418
17045,2019-10-26,10000419
17050,2020-01-06,10000420
17055,2020-01-07,10000421
17060,2019-09-27,10000422
17065,2020-01-02,10000423
17070,2019-06-07,10000424
17075,2019-05-24,10000425
17080,2020-01-07,10000426
17085,2019-03-02,10000427
17090,2020-01-24,10000428
17095,2019-07-07,10000429
17100,2019-12-07,10000430
17105,2020-01-21,10000431
17110,2019-03-06,10000432
17115,2019-10-30,10000433
17120,2019-04-04,10000434
17125,2019-10-28,10000435
17130,2019-01-26,10000436
17135,2019-07-06,10000437
17140,2019-04-26,10000438
17145,2019-10-09,10000439
17150,2019-06-01,10000440
17155,2019-11-27,10000441
17160,2019-01-25,10000442
17165,2019-01-01,10000443
17170,2019-12-17,10000444
17175,2019-05-18,10000445
17180,2019-07-26,10000446
17185,2019-10-13,10000447
17190,2019-04-13,10000448
17195,2019-01-01,10000449
17200,2020-02-09,10000450
17205,2019-06-12,10000451
17210,2020-01-26,10000452
17215,2019-07-21,10000453
17220,2019-04-06,10000454
17225,2019-12-10,10000455
17230,2019-01-19,10000456
17235,2019-05-13,10000457
17240,2019-02-18,10000458
17245,2019-04-06,10000459
17250,2019-02-18,10000460
17255,2019-12-15,10000461
17260,2019-07-14,10000462
17265,2019-03-25,10000463
17270,2019-06-10,10000464
17275,2019-05-05,10000465
17280,2019-07-20,10000466
17285,2019-03-27,10000467
17290,2019-06-26,10000468
17295,2019-08-07,10000469
17300,2019-09-22,10000470
17305,2019-02-08,10000471
17310,2019-03-18,10000472
17315,2019-03-26,10000473
17320,2020-02-03,10000474
17325,2019-11-19,10000475
17330,2019-08-06,10000476
17335,2020-01-02,10000477
17340,2020-01-14,10000478
17345,2019-11-27,10000479
17350,2019-11-17,10000480
17355,2019-05-06,10000481
17360,2019-08-28,10000482
17365,2019-08-18,10000483
17370,2020-02-06,10000484
17375,2019-10-24,10000485
17380,2019-04-27,10000486
17385,2019-10-02,10000487
17390,2019-06-07,10000488
17395,2019-12-25,10000489
17400,2019-07-13,10000490
17405,2019-12-23,10000491
17410,2019-05-05,10000492
17415,2019-01-01,10000493
17420,2019-12-17,10000494
17425,2020-01-21,10000495
17430,2019-04-21,10000496
17435,2019-10-18,10000497
17440,2020-01-24,10000498
17445,2019-10-15,10000499
17450,2019-07-21,10000500
17455,2019-11-15,10000501
17460,2019-03-24,10000502
17465,2019-06-30,10000503
17470,2019-03-21,10000504
17475,2019-03-12,10000505
17480,2019-09-22,10000506
17485,2019-12-29,10000507
17490,2019-04-05,10000508
17495,2019-02-14,10000509
17500,2019-09-16,10000510
17505,2019-02-27,10000511
17510,2019-03-20,10000512
17515,2019-04-17,10000513
17520,2019-06-10,10000514
17525,2019-05-14,10000515
17530,2020-02-02,10000516
17535,2019-05-24,10000517
17540,2019-07-28,10000518
17545,2019-07-19,10000519
17550,2019-02-14,10000520
17555,2019-09-16,10000521
17560,2019-03-16,10000522
17565,2019-01-31,10000523
17570,2019-08-07,10000524
17575,2020-02-07,10000525
17580,2019-07-14,10000526
17585,2019-09-27,10000527
17590,2019-08-20,10000528
17595,2019-02-19,10000529
17600,2019-04-21,10000530
17605,2019-08-16,10000531
17610,2019-10-21,10000532
17615,2019-01-28,10000533
17620,2019-11-02,10000534
17625,2019-08-04,10000535
17630,2019-12-02,10000536
17635,2020-01-22,10000537
17640,2019-11-29,10000538
17645,2019-01-28,10000539
17650,2019-08-28,10000540
17655,2019-11-17,10000541
17660,2019-05-26,10000542
17665,2020-02-07,10000543
17670,2019-09-14,10000544
17675,2019-11-09,10000545
17680,2019-05-21,10000546
17685,2020-02-14,10000547
17690,2019-10-28,10000548
17695,2019-08-19,10000549
17700,2019-08-30,10000550
17705,2020-01-04,10000551
17710,2019-09-02,10000552
17715,2019-01-25,10000553
17720,2020-01-06,10000554
17725,2019-03-24,10000555
17730,2019-08-04,10000556
17735,2019-03-31,10000557
17740,2019-05-07,10000558
17745,2019-01-18,10000559
17750,2019-05-20,10000560
17755,2019-03-09,10000561
17760,2019-10-05,10000562
17765,2019-04-30,10000563
17770,2019-12-17,10000564
17775,2019-01-31,10000565
17780,2019-09-02,10000566
17785,2019-01-26,10000567
17790,2019-06-16,10000568
17795,2020-01-05,10000569
17800,2019-01-05,10000570
17805,2019-01-14,10000571
17810,2019-09-29,10000572
17815,2019-09-21,10000573
17820,2019-07-07,10000574
17825,2019-01-28,10000575
17830,2019-09-09,10000576
17835,2019-01-05,10000577
17840,2019-05-24,10000578
17845,2019-12-05,10000579
17850,2019-08-09,10000580
17855,2019-12-03,10000581
17860,2020-01-25,10000582
17865,2019-07-12,10000583
17870,2019-12-15,10000584
17875,2019-08-26,10000585
17880,2019-11-19,10000586
17885,2019-10-09,10000587
17890,2019-12-14,10000588
17895,2019-09-29,10000589
17900,2019-12-26,10000590
17905,2019-04-24,10000591
17910,2020-01-03,10000592
17915,2019-02-04,10000593
17920,2019-07-19,10000594
17925,2020-01-02,10000595
17930,2019-09-25,10000596
17935,2019-01-20,10000597
17940,2019-12-17,10000598
17945,2019-05-01,10000599
17950,2019-11-17,10000600
17955,2019-01-14,10000601
17960,2019-04-18,10000602
17965,2020-01-14,10000603
17970,2019-07-07,10000604
17975,2019-10-25,10000605
17980,2019-09-26,10000606
17985,2019-08-27,10000607
17990,2019-09-07,10000608
17995,2019-11-08,10000609
18000,2020-02-09,10000610
18005,2020-01-29,10000611
18010,2020-01-09,10000612
18015,2020-01-27,10000613
18020,2019-10-06,10000614
18025,2019-12-05,10000615
18030,2019-10-02,10000616
18035,2019-08-22,10000617
18040,2019-06-17,10000618
18045,2019-11-11,10000619
18050,2019-10-21,10000620
18055,2019-04-18,10000621
18060,2019-11-19,10000622
18065,2020-01-08,10000623
18070,2020-02-07,10000624
18075,2019-01-05,10000625
18080,2019-12-13,10000626
18085,2019-08-19,10000627
18090,2020-01-15,10000628
18095,2019-05-03,10000629
18100,2019-09-03,10000630
18105,2020-02-01,10000631
18110,2019-05-15,10000632
18115,2019-07-23,10000633
18120,2019-01-04,10000634
18125,2019-11-04,10000635
18130,2019-06-27,10000636
18135,2019-07-04,10000637
18140,2019-09-06,10000638
18145,2019-03-29,10000639
18150,2019-09-01,10000640
18155,2019-05-06,10000641
18160,2019-04-17,10000642
18165,2019-09-18,10000643
18170,2019-11-10,10000644
18175,2020-02-10,10000645
18180,2019-05-21,10000646
18185,2019-01-29,10000647
18190,2019-10-31,10000648
18195,2019-04-01,10000649
18200,2020-01-11,10000650
18205,2019-06-26,10000651
18210,2020-01-06,10000652
18215,2019-05-17,10000653
18220,2019-08-03,10000654
18225,2019-03-24,10000655
18230,2019-08-14,10000656
18235,2020-02-15,10000657
18240,2019-05-30,10000658
18245,2019-10-14,10000659
18250,2019-03-31,10000660
18255,2019-10-04,10000661
18260,2019-04-09,10000662
18265,2019-10-28,10000663
18270,2019-07-21,10000664
18275,2019-10-08,10000665
18280,2019-07-10,10000666
18285,2019-02-15,10000667
18290,2019-06-17,10000668
18295,2019-12-15,10000669
18300,2019-06-23,10000670
18305,2019-01-21,10000671
18310,2019-12-07,10000672
18315,2019-12-22,10000673
18320,2019-06-07,10000674
18325,2019-02-12,10000675
18330,2019-01-30,10000676
18335,2019-07-01,10000677
18340,2019-08-29,10000678
18345,2020-01-19,10000679
18350,2019-01-01,10000680
18355,2020-01-22,10000681
18360,2019-02-01,10000682
18365,2019-08-04,10000683
18370,2019-12-04,10000684
18375,2019-02-26,10000685
18380,2020-01-02,10000686
18385,2020-01-17,10000687
18390,2019-11-28,10000688
18395,2019-11-26,10000689
18400,2019-01-27,10000690
18405,2019-07-15,10000691
18410,2019-09-13,10000692
18415,2019-12-05,10000693
18420,2019-02-19,10000694
18425,2019-11-10,10000695
18430,2019-11-27,10000696
18435,2019-05-07,10000697
18440,2019-02-23,10000698
18445,2019-11-06,10000699
18450,2019-05-30,10000700
18455,2019-01-29,10000701
18460,2019-11-22,10000702
18465,2019-11-24,10000703
18470,2019-03-23,10000704
18475,2019-04-22,10000705
18480,2019-01-20,10000706
18485,2019-05-22,10000707
18490,2019-09-25,10000708
18495,2019-05-29,10000709
18500,2019-06-21,10000710
18505,2020-01-02,10000711
18510,2019-06-09,10000712
18515,2019-01-17,10000713
18520,2019-03-13,10000714
18525,2019-12-29,10000715
18530,2019-02-04,10000716
18535,2019-11-03,10000717
18540,2019-02-05,10000718
18545,2019-07-26,10000719
18550,2019-07-11,10000720
18555,2019-07-25,10000721
18560,2019-07-13,10000722
18565,2019-09-16,10000723
18570,2019-08-28,10000724
18575,2019-07-08,10000725
18580,2019-08-20,10000726
18585,2019-02-11,10000727
18590,2019-03-05,10000728
18595,2019-08-12,10000729
18600,2019-08-03,10000730
18605,2019-08-20,10000731
18610,2019-09-28,10000732
18615,2019-10-28,10000733
18620,2019-09-12,10000734
18625,2020-01-23,10000735
18630,2019-06-01,10000736
18635,2019-08-23,10000737
18640,2019-11-08,10000738
18645,2019-07-08,10000739
18650,2019-03-15,10000740
18655,2019-06-04,10000741
18660,2019-12-17,10000742
18665,2019-06-10,10000743
18670,2019-03-13,10000744
18675,2019-10-13,10000745
18680,2019-11-01,10000746
18685,2019-01-01,10000747
18690,2019-09-22,10000748
18695,2019-07-13,10000749
18700,2019-02-22,10000750
18705,2019-12-08,10000751
18710,2019-01-02,10000752
18715,2019-12-05,10000753
18720,2019-10-26,10000754
18725,2019-09-21,10000755
18730,2019-02-24,10000756
18735,2019-08-23,10000757
18740,2019-08-29,10000758
18745,2019-09-30,10000759
18750,2019-07-07,10000760
18755,2020-02-07,10000761
18760,2019-01-29,10000762
18765,2019-05-25,10000763
18770,2019-09-01,10000764
18775,2020-02-01,10000765
18780,2019-01-07,10000766
18785,2019-01-06,10000767
18790,2019-09-17,10000768
18795,2019-02-12,10000769
18800,2019-04-06,10000770
18805,2019-04-27,10000771
18810,2019-03-11,10000772
18815,2019-05-01,10000773
18820,2019-11-01,10000774
18825,2019-05-15,10000775
18830,2019-10-29,10000776
18835,2019-05-02,10000777
18840,2019-06-05,10000778
18845,2019-08-20,10000779
18850,2019-05-27,10000780
18855,2019-08-24,10000781
18860,2019-04-08,10000782
18865,2019-04-05,10000783
18870,2019-06-08,10000784
18875,2019-05-18,10000785
18880,2019-07-19,10000786
18885,2019-11-16,10000787
18890,2020-01-02,10000788
18895,2019-01-27,10000789
18900,2020-02-02,10000790
18905,2019-03-22,10000791
18910,2019-03-09,10000792
18915,2019-10-09,10000793
18920,2019-05-12,10000794
18925,2019-05-11,10000795
18930,2019-06-27,10000796
18935,2019-09-22,10000797
18940,2019-11-10,10000798
18945,2019-07-31,10000799
18950,2019-12-01,10000800
18955,2019-11-17,10000801
18960,2019-12-18,10000802
18965,2019-02-15,10000803
18970,2020-02-09,10000804
18975,2019-09-11,10000805
18980,2019-01-12,10000806
18985,2019-09-11,10000807
18990,2019-06-22,10000808
18995,2019-04-18,10000809
19000,2019-04-28,10000810
19005,2019-11-23,10000811
19010,2019-12-30,10000812
19015,2019-12-13,10000813
19020,2019-07-04,10000814
19025,2019-04-22,10000815
19030,2019-02-06,10000816
19035,2020-01-02,10000817
19040,2020-01-12,10000818
19045,2019-11-29,10000819
19050,2019-08-16,10000820
19055,2019-05-11,10000821
19060,2019-08-17,10000822
19065,2019-12-01,10000823
19070,2019-03-14,10000824
19075,2019-08-17,10000825
19080,2019-03-16,10000826
19085,2019-08-21,10000827
19090,2019-11-17,10000828
19095,2019-06-16,10000829
19100,2019-03-22,10000830
19105,2019-01-07,10000831
19110,2019-08-10,10000832
19115,2019-09-14,10000833
19120,2019-07-04,10000834
19125,2019-08-24,10000835
19130,2019-09-15,10000836
19135,2019-06-02,10000837
19140,2019-10-01,10000838
19145,2019-11-19,10000839
19150,2019-02-19,10000840
19155,2019-01-17,10000841
19160,2019-05-10,10000842
19165,2019-10-21,10000843
19170,2019-01-29,10000844
19175,2019-03-07,10000845
19180,2019-01-10,10000846
19185,2019-10-26,10000847
19190,2020-02-05,10000848
19195,2019-04-19,10000849
19200,2019-12-25,10000850
19205,2019-08-22,10000851
19210,2019-04-22,10000852
19215,2019-11-27,10000853
19220,2019-10-08,10000854
19225,2019-02-13,10000855
19230,2019-10-06,10000856
19235,2019-06-08,10000857
19240,2019-01-04,10000858
19245,2019-12-28,10000859
19250,2019-07-10,10000860
19255,2019-12-26,10000861
19260,2019-02-20,10000862
19265,2019-02-02,10000863
19270,2019-05-29,10000864
19275,2020-01-06,10000865
19280,2019-07-10,10000866
19285,2019-10-30,10000867
19290,2019-07-23,10000868
19295,2019-12-12,10000869
19300,2019-09-26,10000870
19305,2019-10-04,10000871
19310,2019-06-09,10000872
19315,2019-03-22,10000873
19320,2020-02-14,10000874
19325,2019-11-19,10000875
19330,2020-02-05,10000876
19335,2019-01-16,10000877
19340,2019-11-07,10000878
19345,2019-05-28,10000879
19350,2019-03-25,10000880
19355,2019-02-07,10000881
19360,2019-04-25,10000882
19365,2019-05-25,10000883
19370,2019-06-25,10000884
19375,2020-02-09,10000885
19380,2019-05-30,10000886
19385,2019-03-23,10000887
19390,2019-04-10,10000888
19395,2019-01-19,10000889
19400,2019-07-28,10000890
19405,2019-04-08,10000891
19410,2019-05-05,10000892
19415,2019-10-16,10000893
19420,2019-02-05,10000894
19425,2019-12-25,10000895
19430,2019-10-08,10000896
19435,2019-09-13,10000897
19440,2019-08-05,10000898
19445,2019-07-24,10000899
19450,2019-01-25,10000900
19455,2019-09-14,10000901
19460,2020-02-07,10000902
19465,2019-04-28,10000903
19470,2019-09-23,10000904
19475,2019-03-06,10000905
19480,2019-11-29,10000906
19485,2019-08-03,10000907
19490,2019-09-03,10000908
19495,2019-03-02,10000909
19500,2019-09-08,10000910
19505,2019-08-14,10000911
19510,2019-08-29,10000912
19515,2019-07-27,10000913
19520,2019-12-11,10000914
19525,2019-01-20,10000915
19530,2019-10-12,10000916
19535,2019-06-18,10000917
19540,2020-01-05,10000918
19545,2019-05-20,10000919
19550,2019-03-06,10000920
19555,2019-05-03,10000921
19560,2019-03-16,10000922
19565,2019-12-16,10000923
19570,2019-06-07,10000924
19575,2019-10-23,10000925
19580,2019-02-13,10000926
19585,2019-01-14,10000927
19590,2019-11-12,10000928
19595,2019-06-06,10000929
19600,2020-01-27,10000930
19605,2020-01-29,10000931
19610,2019-12-21,10000932
19615,2019-09-20,10000933
19620,2019-08-31,10000934
19625,2019-06-27,10000935
19630,2019-05-10,10000936
19635,2019-11-18,10000937
19640,2019-07-31,10000938
19645,2019-10-02,10000939
19650,2019-10-29,10000940
19655,2019-01-13,10000941
19660,2019-06-01,10000942
19665,2020-02-07,10000943
19670,2019-07-21,10000944
19675,2019-08-11,10000945
19680,2019-06-15,10000946
19685,2019-06-27,10000947
19690,2019-11-03,10000948
19695,2020-01-06,10000949
19700,2019-01-19,10000950
19705,2019-07-16,10000951
19710,2019-06-03,10000952
19715,2019-06-28,10000953
19720,2019-02-16,10000954
19725,2020-01-16,10000955
19730,2019-01-14,10000956
19735,2020-01-06,10000957
19740,2019-06-22,10000958
19745,2019-12-30,10000959
19750,2019-10-03,10000960
19755,2019-12-25,10000961
19760,2019-10-07,10000962
19765,2019-07-01,10000963
19770,2019-07-25,10000964
19775,2019-11-12,10000965
19780,2019-05-29,10000966
19785,2019-02-15,10000967
19790,2019-01-04,10000968
19795,2019-04-24,10000969
19800,2019-10-06,10000970
19805,2019-04-09,10000971
19810,2019-10-17,10000972
19815,2019-04-07,10000973
19820,2019-03-22,10000974
19825,2019-11-30,10000975
19830,2019-06-26,10000976
19835,2019-03-26,10000977
19840,2019-02-16,10000978
19845,2019-12-27,10000979
19850,2019-04-28,10000980
19855,2020-02-09,10000981
19860,2019-03-27,10000982
19865,2019-04-25,10000983
19870,2019-06-21,10000984
19875,2019-11-13,10000985
19880,2019-04-04,10000986
19885,2019-01-19,10000987
19890,2019-05-19,10000988
19895,2019-08-14,10000989
19900,2019-06-27,10000990
19905,2019-01-31,10000991
19910,2019-06-17,10000992
19915,2019-04-12,10000993
19920,2019-06-18,10000994
19925,2019-02-19,10000995
19930,2019-08-13,10000996
19935,2019-10-21,10000997
19940,2019-02-10,10000998
19945,2019-07-19,10000999
19950,2019-11-04,10001000
19955,2019-05-12,10001001
19960,2019-03-06,10001002
19965,2019-04-19,10001003
19970,2019-08-28,10001004
19975,2019-06-25,10001005
19980,2019-09-24,10001006
